Topic/Field,Journal,Link
Bio,PLOS Genetics,https://journals.plos.org/plosgenetics/issue
Bio,Genome Research,https://genome.cshlp.org/content/current
Bio,EMBOPress***,https://www.embopress.org/toc/14602075/0/0
Bio,Molecular Psychiatry,https://www.nature.com/mp/research-articles
Chemistry,Chemical Reviews,https://pubs.acs.org/toc/chreay/0/0
Chemistry,Chemical Society Reviews,https://pubs.rsc.org/en/journals/journalissues/cs#!recentarticles&adv
Chemistry,Nature Materials,https://www.nature.com/nmat/research-articles
Chemistry,Electrochemical Energy Reviews,https://link.springer.com/journal/41918/articles
Chemistry,Chem,https://www.cell.com/chem/newarticles
Chemistry,ACS Energy Letters,https://pubs.acs.org/toc/aelccp/0/0
Chemistry,Accounts of Chemical Research,https://pubs.acs.org/toc/achre4/0/0
Chemistry,EnergyChem,https://www.sciencedirect.com/journal/energychem/vol/6/issue/2
Chemistry,Journal of the American Chemical Society,https://pubs.acs.org/journal/jacsat
Chemistry,Progress in Polymer Science,https://www.sciencedirect.com/journal/progress-in-polymer-science/articles-in-press
Chemistry,Angewandte Chemie - International Edition,https://onlinelibrary.wiley.com/toc/15213773/0/ja
Chemistry,Advanced Functional Materials,https://onlinelibrary.wiley.com/toc/16163028/current
Chemistry,Nature Reviews Chemistry,https://www.nature.com/natrevchem/articles
Chemistry,Nature Chemistry,https://www.nature.com/nchem/articles
Chemistry,Trends in Chemistry,https://www.cell.com/trends/chemistry/newarticles
Chemistry,Nature Communications - Chem section,https://www.nature.com/subjects/chemistry/ncomms
Chemistry,Annual Review of Physical Chemistry,https://www.annualreviews.org/toc/physchem/forthcoming
Chemistry,ACS Catalysis,https://pubs.acs.org/toc/accacs/0/0
Chemistry,ACS Central Science,https://pubs.acs.org/toc/acscii/0/0
Chemistry,Coordination Chemistry Reviews,https://www.sciencedirect.com/journal/coordination-chemistry-reviews/articles-in-press
Energy & Materials,Nature Review Materials,https://www.nature.com/natrevmats/research-articles
Energy & Materials,Nature Energy,https://www.nature.com/nenergy/research-articles
Energy & Materials,Energy and Environmental Science,https://pubs.rsc.org/en/journals/journalissues/ee#!recentarticles&adv
Energy & Materials,Joule,https://www.cell.com/joule/collections
Energy & Materials,Advanced Energy Materials,https://onlinelibrary.wiley.com/journal/16146840
Energy & Materials,Electrochemical Energy Reviews,https://link.springer.com/journal/41918/articles
Energy & Materials,ACS Energy Letters,https://pubs.acs.org/toc/aelccp/0/0
Energy & Materials,Nature Sustainability,https://www.nature.com/natsustain/research-articles
Energy & Materials,EnergyChem,https://www.sciencedirect.com/journal/energychem/vol/6/issue/2
Energy & Materials,Progress in Energy and Combustion Science,https://www.sciencedirect.com/journal/progress-in-energy-and-combustion-science/vol/102/suppl/C
Energy & Materials,Advances in Applied Energy,https://www.sciencedirect.com/journal/advances-in-applied-energy/vol/14/suppl/C
Energy & Materials,Energy Storage Materials,https://www.sciencedirect.com/journal/energy-storage-materials/vol/67/suppl/C
Energy & Materials,Nano Energy,https://www.sciencedirect.com/journal/nano-energy/vol/124/suppl/C
Energy & Materials,Energy and Environmental Materials,https://onlinelibrary.wiley.com/toc/25750356/current
Energy & Materials,Biofuel Research Journal,https://www.biofueljournal.com/issue_26351_26352.html
Energy & Materials,Renewable and Sustainable Energy Reviews,https://www.sciencedirect.com/journal/renewable-and-sustainable-energy-reviews/vol/196/suppl/C
Energy & Materials,Journal of Materials Chemistry A,https://pubs.rsc.org/en/journals/journalissues/ta#!recentarticles&adv
Energy & Materials,Applied Energy,https://www.sciencedirect.com/journal/applied-energy/vol/361/suppl/C
Energy & Materials,Materials Today Physics,https://www.sciencedirect.com/journal/materials-today-physics/vol/42/suppl/C
Energy & Materials,Journal of Energy Chemistry,https://www.sciencedirect.com/journal/journal-of-energy-chemistry/vol/93/suppl/C
Energy & Materials,Energy Conversion and Management,https://www.sciencedirect.com/journal/energy-conversion-and-management/vol/305/suppl/C
Energy & Materials,Solar RRL,https://onlinelibrary.wiley.com/toc/2367198x/current
Energy & Materials,Environmental Research Letters,https://iopscience.iop.org/journal/1748-9326
Energy & Materials,Energy Strategy Reviews,https://www.sciencedirect.com/journal/energy-strategy-reviews/vol/52/suppl/C
Energy & Materials,ChemSusChem,https://chemistry-europe.onlinelibrary.wiley.com/toc/1864564x/current
Energy & Materials,Materials Today Energy,https://www.sciencedirect.com/journal/materials-today-energy/vol/41/suppl/C
Energy & Materials,Energy,https://www.sciencedirect.com/journal/energy/vol/294/suppl/C
Energy & Materials,Science: Energy,https://www.science.org/topic/tags/energy
Photonics,Nature Photonics,https://www.nature.com/nphoton/research-articles
Photonics,Light: Science & Applications,https://www.nature.com/lsa/articles
Photonics,Advanced Optical Materials,https://onlinelibrary.wiley.com/toc/21951071/current
Photonics,Optics Express,https://opg.optica.org/oe/issue.cfm
Photonics,Nature Nanotechnology,https://www.nature.com/nnano/research-articles
Photonics,Advances in Optics and Photonics,https://opg.optica.org/aop/issue.cfm
Photonics,Advanced Photonics,https://www.spiedigitallibrary.org/journals/advanced-photonics/current#_=_
Photonics,PhotoniX,https://photonix.springeropen.com/
Photonics,Optica,https://opg.optica.org/optica/upcomingissue.cfm?sort=published
Photonics,AVS Quantum Science,https://pubs.aip.org/avs/aqs/search-results?SearchSourceType=1%22*%22&exPrm_qqq=%7b!payload_score+f%3dTags+func%3dmax%7d*&q=*&exPrm_fq=(ContentType%3a%22Journal+Articles%22+AND+-ContentType%3aImage)&hideSearchTerm=true
Photonics,ISPRS Journal of Photogrammetry and Remote Sensing,https://www.sciencedirect.com/journal/isprs-journal-of-photogrammetry-and-remote-sensing/vol/210/suppl/C
Photonics,Laser and Photonics Reviews,https://onlinelibrary.wiley.com/toc/18638899/current
